Date : 2022-07-23 14:54:45
Directory : /home/john/Desktop/tsfolder1
Total : 171 files,  248585 codes, 681 comments, 1254 blanks, all 250520 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/john/Desktop/tsfolder1/javascript/style.css                                          | CSS                |          0 |         17 |         28 |         45 |
| /home/john/Desktop/tsfolder1/my-app/README.md                                              | Markdown           |         38 |          0 |         33 |         71 |
| /home/john/Desktop/tsfolder1/my-app/package-lock.json                                      | JSON               |     28,531 |          0 |          1 |     28,532 |
| /home/john/Desktop/tsfolder1/my-app/package.json                                           | JSON               |         38 |          0 |          1 |         39 |
| /home/john/Desktop/tsfolder1/my-app/public/index.html                                      | HTML               |         20 |         23 |          1 |         44 |
| /home/john/Desktop/tsfolder1/my-app/public/manifest.json                                   | JSON               |         25 |          0 |          1 |         26 |
| /home/john/Desktop/tsfolder1/my-app/src/App.css                                            | CSS                |         33 |          0 |          6 |         39 |
| /home/john/Desktop/tsfolder1/my-app/src/App.js                                             | JavaScript         |         23 |          0 |          3 |         26 |
| /home/john/Desktop/tsfolder1/my-app/src/App.test.js                                        | JavaScript         |          7 |          0 |          2 |          9 |
| /home/john/Desktop/tsfolder1/my-app/src/index.css                                          | CSS                |         12 |          0 |          2 |         14 |
| /home/john/Desktop/tsfolder1/my-app/src/index.js                                           | JavaScript         |         12 |          3 |          3 |         18 |
| /home/john/Desktop/tsfolder1/my-app/src/logo.svg                                           | XML                |          1 |          0 |          0 |          1 |
| /home/john/Desktop/tsfolder1/my-app/src/reportWebVitals.js                                 | JavaScript         |         12 |          0 |          2 |         14 |
| /home/john/Desktop/tsfolder1/my-app/src/setupTests.js                                      | JavaScript         |          1 |          4 |          1 |          6 |
| /home/john/Desktop/tsfolder1/randomhtml&css/random/README.md                               | Markdown           |         38 |          0 |         33 |         71 |
| /home/john/Desktop/tsfolder1/randomhtml&css/random/package-lock.json                       | JSON               |     29,448 |          0 |          1 |     29,449 |
| /home/john/Desktop/tsfolder1/randomhtml&css/random/package.json                            | JSON               |         39 |          0 |          1 |         40 |
| /home/john/Desktop/tsfolder1/randomhtml&css/random/public/index.html                       | HTML               |         20 |         23 |          1 |         44 |
| /home/john/Desktop/tsfolder1/randomhtml&css/random/public/manifest.json                    | JSON               |         25 |          0 |          1 |         26 |
| /home/john/Desktop/tsfolder1/randomhtml&css/random/src/App.css                             | CSS                |          0 |          0 |          1 |          1 |
| /home/john/Desktop/tsfolder1/randomhtml&css/random/src/App.js                              | JavaScript         |         12 |          0 |          4 |         16 |
| /home/john/Desktop/tsfolder1/randomhtml&css/random/src/BottomNavBar.css                    | CSS                |         18 |          0 |          2 |         20 |
| /home/john/Desktop/tsfolder1/randomhtml&css/random/src/BottomNavBar.js                     | JavaScript         |         23 |          0 |          5 |         28 |
| /home/john/Desktop/tsfolder1/randomhtml&css/random/src/index.css                           | CSS                |         12 |          0 |          2 |         14 |
| /home/john/Desktop/tsfolder1/randomhtml&css/random/src/index.js                            | JavaScript         |         10 |          3 |          4 |         17 |
| /home/john/Desktop/tsfolder1/react101/dojo-blog/README.md                                  | Markdown           |         38 |          0 |         33 |         71 |
| /home/john/Desktop/tsfolder1/react101/dojo-blog/package-lock.json                          | JSON               |     28,531 |          0 |          1 |     28,532 |
